open,high,low,close,5. volume,market cap
0.00297000,0.00309200,0.00242600,0.00259800,172275753.00000000,172275753.00000000
0.00303700,0.00304900,0.00289700,0.00296700,100972527.00000000,100972527.00000000
0.00311300,0.00314700,0.00296400,0.00304300,174368643.00000000,174368643.00000000
0.00318000,0.00327000,0.00304500,0.00311100,98516387.00000000,98516387.00000000
0.00332800,0.00346000,0.00307600,0.00318100,131567364.00000000,131567364.00000000
0.00330700,0.00336000,0.00321100,0.00330300,50964043.00000000,50964043.00000000
0.00346300,0.00358900,0.00327300,0.00330600,110862323.00000000,110862323.00000000
0.00331300,0.00351800,0.00323400,0.00348300,95922544.00000000,95922544.00000000
0.00347700,0.00351800,0.00326600,0.00331400,46294751.00000000,46294751.00000000
0.00352200,0.00353500,0.00340000,0.00347800,73296998.00000000,73296998.00000000
0.00344600,0.00353300,0.00332000,0.00352400,96413484.00000000,96413484.00000000
0.00332300,0.00355700,0.00330800,0.00344600,84294836.00000000,84294836.00000000
0.00316400,0.00337300,0.00309500,0.00332300,80373789.00000000,80373789.00000000
0.00334000,0.00335400,0.00305900,0.00316500,128559226.00000000,128559226.00000000
0.00332000,0.00353500,0.00300000,0.00332000,213528292.00000000,213528292.00000000
0.00328300,0.00344900,0.00313100,0.00331800,163485571.00000000,163485571.00000000
0.00373700,0.00385000,0.00320300,0.00328200,296353918.00000000,296353918.00000000
0.00340500,0.00404700,0.00334600,0.00373800,378763123.00000000,378763123.00000000
0.00417300,0.00420000,0.00334600,0.00344100,346825195.00000000,346825195.00000000
0.00442900,0.00448600,0.00393100,0.00416600,261019007.00000000,261019007.00000000
0.00455900,0.00471200,0.00425000,0.00440100,294243344.00000000,294243344.00000000
0.00460100,0.00490000,0.00453200,0.00456100,277478187.00000000,277478187.00000000
0.00486500,0.00495000,0.00448900,0.00460100,426031987.00000000,426031987.00000000
0.00449000,0.00507100,0.00445000,0.00486500,1060974343.00000000,1060974343.00000000
0.00385200,0.00454000,0.00382000,0.00449000,648207574.00000000,648207574.00000000
0.00424900,0.00440000,0.00370100,0.00384300,348247116.00000000,348247116.00000000
0.00369600,0.00429500,0.00365400,0.00424900,317670040.00000000,317670040.00000000
0.00405700,0.00412400,0.00356800,0.00369900,285177088.00000000,285177088.00000000
0.00432300,0.00460000,0.00403000,0.00407100,417349502.00000000,417349502.00000000
0.00382900,0.00452100,0.00373000,0.00432300,348817316.00000000,348817316.00000000
0.00370800,0.00389900,0.00352100,0.00381100,130109347.00000000,130109347.00000000
0.00367800,0.00398800,0.00346200,0.00370800,284884143.00000000,284884143.00000000
0.00345900,0.00370600,0.00341100,0.00367800,83966826.00000000,83966826.00000000
0.00365500,0.00380000,0.00343900,0.00345900,131440953.00000000,131440953.00000000
0.00375800,0.00389500,0.00352400,0.00366200,197059146.00000000,197059146.00000000
0.00367800,0.00413900,0.00365100,0.00377700,351073238.00000000,351073238.00000000
0.00357000,0.00370000,0.00349400,0.00369800,194188323.00000000,194188323.00000000
0.00338800,0.00376200,0.00333800,0.00355600,310305973.00000000,310305973.00000000
0.00338500,0.00340300,0.00329700,0.00340300,122100816.00000000,122100816.00000000
0.00331800,0.00339000,0.00323000,0.00338300,148864700.00000000,148864700.00000000
0.00326400,0.00332200,0.00316300,0.00331300,105808444.00000000,105808444.00000000
0.00354900,0.00362000,0.00310000,0.00325700,261581941.00000000,261581941.00000000
0.00325800,0.00364000,0.00319100,0.00353900,283717681.00000000,283717681.00000000
0.00320500,0.00328000,0.00310100,0.00325800,158332079.00000000,158332079.00000000
0.00317000,0.00323000,0.00311200,0.00320000,84835320.00000000,84835320.00000000
0.00321700,0.00325000,0.00309000,0.00318300,102685987.00000000,102685987.00000000
0.00320000,0.00323700,0.00314600,0.00321600,76685363.00000000,76685363.00000000
0.00316900,0.00321600,0.00312300,0.00320000,68974432.00000000,68974432.00000000
0.00313300,0.00319300,0.00310000,0.00315000,76095443.00000000,76095443.00000000
0.00315500,0.00324400,0.00311500,0.00313000,93527358.00000000,93527358.00000000
0.00329000,0.00336900,0.00300900,0.00315800,143628375.00000000,143628375.00000000
0.00303800,0.00332000,0.00300200,0.00328800,238033234.00000000,238033234.00000000
0.00316500,0.00319500,0.00299900,0.00303200,111979472.00000000,111979472.00000000
0.00316100,0.00324700,0.00306000,0.00314800,98023891.00000000,98023891.00000000
0.00309000,0.00334900,0.00300200,0.00318500,158517406.00000000,158517406.00000000
0.00304800,0.00315200,0.00289000,0.00309000,191896174.00000000,191896174.00000000
0.00312000,0.00370000,0.00288200,0.00307600,203362697.00000000,203362697.00000000
0.00315100,0.00319700,0.00308700,0.00313600,57609957.00000000,57609957.00000000
0.00315800,0.00329000,0.00308500,0.00314100,97168025.00000000,97168025.00000000
0.00324100,0.00327000,0.00301900,0.00314600,140111265.00000000,140111265.00000000
0.00329800,0.00331200,0.00320000,0.00324100,78652269.00000000,78652269.00000000
0.00328800,0.00331900,0.00322700,0.00329800,109373217.00000000,109373217.00000000
0.00335600,0.00340400,0.00326900,0.00328800,78037787.00000000,78037787.00000000
0.00340700,0.00344000,0.00332100,0.00335600,76165900.00000000,76165900.00000000
0.00346200,0.00352900,0.00334900,0.00340500,65374912.00000000,65374912.00000000
0.00330400,0.00353700,0.00326900,0.00345700,102849076.00000000,102849076.00000000
0.00333700,0.00338900,0.00326700,0.00330400,51934250.00000000,51934250.00000000
0.00348100,0.00371500,0.00319000,0.00333800,145930631.00000000,145930631.00000000
0.00332900,0.00354500,0.00332900,0.00347500,105798453.00000000,105798453.00000000
0.00334200,0.00348700,0.00325300,0.00332900,72144595.00000000,72144595.00000000
0.00348100,0.00353200,0.00333300,0.00334800,112486413.00000000,112486413.00000000
0.00351900,0.00359500,0.00325000,0.00348100,99774260.00000000,99774260.00000000
0.00339300,0.00385000,0.00331100,0.00352300,125219188.00000000,125219188.00000000
0.00356100,0.00356100,0.00319000,0.00338100,198208720.00000000,198208720.00000000
0.00393000,0.00400000,0.00333600,0.00356700,378145962.00000000,378145962.00000000
0.00308300,0.00419000,0.00304000,0.00392500,637228419.00000000,637228419.00000000
0.00299900,0.00326700,0.00294000,0.00308300,62345639.00000000,62345639.00000000
0.00297700,0.00325000,0.00287300,0.00300600,67746851.00000000,67746851.00000000
