open,high,low,close,5. volume,market cap
474.06000000,556.16000000,468.22000000,502.33000000,11982.09745000,11982.09745000
453.91000000,477.93000000,438.52000000,474.66000000,4528.19054000,4528.19054000
486.55000000,501.23000000,452.57000000,453.63000000,4863.09298000,4863.09298000
499.31000000,517.94000000,473.10000000,486.31000000,5869.49405000,5869.49405000
514.13000000,515.91000000,482.64000000,497.75000000,5153.04777000,5153.04777000
523.83000000,531.69000000,497.70000000,514.13000000,5356.54786000,5356.54786000
533.27000000,539.04000000,507.35000000,524.88000000,3281.02179000,3281.02179000
522.47000000,557.66000000,522.40000000,533.27000000,2340.59957000,2340.59957000
506.89000000,534.96000000,500.39000000,522.00000000,2206.37414000,2206.37414000
529.08000000,530.71000000,500.00000000,507.59000000,2808.59182000,2808.59182000
544.20000000,551.24000000,500.94000000,527.73000000,3757.29813000,3757.29813000
513.92000000,547.62000000,481.49000000,546.38000000,5266.04652000,5266.04652000
584.76000000,599.22000000,499.47000000,513.78000000,6110.91458000,6110.91458000
559.51000000,604.29000000,551.01000000,586.47000000,4657.69243000,4657.69243000
660.78000000,666.74000000,559.50000000,560.00000000,5229.22817000,5229.22817000
718.17000000,719.49000000,622.88000000,661.43000000,5437.03075000,5437.03075000
681.61000000,745.56000000,672.18000000,718.30000000,8030.67015000,8030.67015000
677.41000000,688.00000000,656.09000000,681.61000000,2693.20080000,2693.20080000
630.83000000,686.32000000,629.00000000,675.83000000,4964.07386000,4964.07386000
636.30000000,644.52000000,629.17000000,631.21000000,2524.58011000,2524.58011000
617.99000000,636.78000000,610.63000000,635.96000000,3682.24313000,3682.24313000
640.77000000,646.02000000,609.25000000,614.97000000,3986.94846000,3986.94846000
638.09000000,655.00000000,629.00000000,640.77000000,5185.20344000,5185.20344000
677.17000000,678.41000000,609.65000000,638.10000000,7333.41816000,7333.41816000
638.71000000,696.35000000,635.91000000,677.33000000,7761.75368000,7761.75368000
642.80000000,650.30000000,621.36000000,638.49000000,2805.33554000,2805.33554000
603.37000000,650.66000000,593.59000000,642.87000000,7824.11616000,7824.11616000
661.54000000,671.29000000,601.50000000,603.17000000,4996.22357000,4996.22357000
649.48000000,697.97000000,646.35000000,661.69000000,4491.17533000,4491.17533000
674.75000000,683.31000000,622.00000000,648.90000000,5216.07360000,5216.07360000
685.18000000,693.81000000,645.01000000,674.86000000,3928.30457000,3928.30457000
693.48000000,728.69000000,680.00000000,686.00000000,5664.16441000,5664.16441000
694.12000000,705.33000000,683.41000000,693.27000000,2800.09057000,2800.09057000
729.21000000,731.78000000,680.00000000,695.59000000,5691.97169000,5691.97169000
789.72000000,814.76000000,717.78000000,729.14000000,9359.24730000,9359.24730000
719.99000000,875.00000000,688.37000000,789.72000000,32845.87810000,32845.87810000
599.74000000,841.00000000,599.73000000,719.99000000,16802.01714000,16802.01714000
623.62000000,627.52000000,581.38000000,599.75000000,2709.99998000,2709.99998000
596.38000000,634.16000000,596.21000000,623.18000000,2794.19341000,2794.19341000
583.55000000,597.78000000,581.15000000,595.78000000,1173.10211000,1173.10211000
579.44000000,586.19000000,574.88000000,582.48000000,429.79237000,429.79237000
585.93000000,593.37000000,562.54000000,579.36000000,835.98288000,835.98288000
592.67000000,594.30000000,577.32000000,586.70000000,772.49443000,772.49443000
584.56000000,599.74000000,581.47000000,592.67000000,600.58339000,600.58339000
593.00000000,612.23000000,577.79000000,584.49000000,1558.03534000,1558.03534000
566.96000000,607.83000000,566.71000000,593.00000000,1031.74562000,1031.74562000
594.69000000,631.34000000,529.00000000,567.72000000,2949.63491000,2949.63491000
555.29000000,598.77000000,551.74000000,594.69000000,1944.67198000,1944.67198000
572.39000000,574.76000000,552.69000000,555.17000000,1172.60762000,1172.60762000
544.93000000,578.34000000,534.62000000,572.22000000,2457.57003000,2457.57003000
517.58000000,549.00000000,512.00000000,544.84000000,1517.14304000,1517.14304000
510.76000000,519.58000000,498.00000000,516.68000000,905.44999000,905.44999000
520.59000000,530.86000000,501.69000000,509.07000000,1627.76829000,1627.76829000
525.25000000,552.57000000,511.70000000,521.46000000,1785.90235000,1785.90235000
514.00000000,536.86000000,498.53000000,525.43000000,1704.52818000,1704.52818000
530.15000000,553.00000000,503.11000000,514.00000000,2393.36207000,2393.36207000
509.50000000,845.00000000,509.50000000,529.32000000,9085.38992000,9085.38992000
